,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary,actual_left,predicted_left,turnover_probability,risk_score_percent,risk_zone,retention_strategy
2626,0.64,0.93,4,233,2,1,0,0,technical,medium,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11300,0.55,0.4,3,158,3,0,0,0,hr,low,0,0,0.02,2.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2663,0.68,0.51,4,176,4,1,0,0,sales,low,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3941,0.59,0.69,3,186,3,0,0,0,technical,low,0,0,0.03,3.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3861,0.2,0.93,4,101,5,0,0,0,support,low,0,0,0.05,5.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
7750,0.75,0.82,3,227,2,0,0,0,support,medium,0,0,0.02,2.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8799,0.33,0.95,4,280,3,0,0,0,accounting,medium,0,0,0.34,34.0,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
4512,0.54,0.76,3,199,4,0,0,0,sales,low,0,0,0.135,13.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4320,0.46,0.43,4,258,3,0,0,0,support,low,0,0,0.045,4.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4409,0.75,0.69,2,257,2,1,0,0,product_mng,low,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11587,0.59,0.59,4,197,7,0,0,0,IT,medium,0,0,0.035,3.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3394,0.62,0.91,4,231,3,0,0,0,technical,low,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2415,0.55,0.88,4,252,3,0,0,0,management,low,0,0,0.06,6.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1188,0.11,0.89,6,264,4,0,1,0,support,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
7796,0.17,0.45,2,119,3,0,0,0,sales,medium,0,0,0.225,22.5,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
3838,0.96,0.61,3,271,2,0,0,0,hr,medium,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1532,0.41,0.54,2,135,3,0,1,0,sales,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
4893,0.21,0.77,6,215,4,0,0,0,sales,medium,0,0,0.09,9.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5573,0.66,0.99,4,209,3,0,0,0,sales,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
858,0.1,0.93,6,270,4,0,1,0,sales,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
7886,0.7,0.47,2,238,3,0,0,0,technical,low,0,0,0.225,22.5,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
1804,0.4,0.53,2,127,3,0,1,0,support,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
496,0.59,0.49,7,263,4,0,1,0,technical,medium,1,0,0.225,22.5,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
976,0.39,0.56,2,156,3,0,1,0,IT,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
6318,1.0,0.84,3,185,3,0,0,0,product_mng,medium,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
337,0.44,0.51,2,140,3,0,1,0,hr,medium,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
9863,0.54,0.72,4,259,2,1,0,0,sales,low,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5418,0.68,0.71,5,135,4,1,0,0,marketing,medium,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5243,0.82,0.6,3,261,2,1,0,0,IT,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9271,0.93,0.73,4,156,2,0,0,0,support,low,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3373,0.83,0.95,3,211,2,0,0,0,sales,medium,0,0,0.055,5.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4285,0.52,0.85,3,250,4,0,0,0,sales,low,0,0,0.225,22.5,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
6,0.1,0.77,6,247,4,0,1,0,sales,low,1,1,0.98,98.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
11921,0.97,0.92,6,137,8,1,0,0,product_mng,low,0,0,0.06,6.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
7859,0.33,0.72,2,173,2,0,0,0,marketing,low,0,0,0.14,14.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5152,0.85,0.49,4,142,3,0,0,0,support,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6629,0.78,0.76,3,238,3,0,0,0,marketing,medium,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
7663,0.73,0.62,5,186,4,0,0,0,technical,low,0,0,0.13,13.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9106,0.99,0.64,3,183,3,0,0,0,hr,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3597,0.58,0.62,3,169,2,0,0,0,sales,medium,0,0,0.02,2.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
93,0.46,0.55,2,129,3,0,1,0,sales,low,1,1,0.995,99.5,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
9901,0.96,0.88,2,193,2,0,0,0,IT,low,0,0,0.1,10.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6899,0.75,0.58,3,159,3,0,0,0,technical,medium,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6975,0.87,0.94,3,217,3,0,0,0,technical,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1858,0.44,0.48,2,158,3,0,1,0,technical,low,1,1,0.985,98.5,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
4071,0.51,0.55,4,267,3,0,0,0,technical,medium,0,0,0.02,2.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10477,0.73,0.65,3,145,2,0,0,0,accounting,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2897,0.53,0.67,4,167,2,0,0,0,management,low,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1579,0.73,0.93,5,229,5,0,1,0,technical,medium,1,1,0.92,92.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
1868,0.39,0.51,2,137,3,0,1,0,technical,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
396,0.09,0.79,6,293,5,0,1,0,sales,low,1,1,0.995,99.5,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
2282,0.96,0.99,3,148,3,0,0,0,support,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8018,0.86,0.79,3,106,6,1,0,0,sales,medium,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3209,0.58,0.91,4,173,4,0,0,0,sales,low,0,0,0.105,10.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
307,0.11,0.81,5,287,4,0,1,0,sales,low,1,1,0.935,93.5,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
3892,0.73,0.78,5,150,3,0,0,0,sales,low,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3576,0.85,0.62,2,280,4,0,0,0,RandD,low,0,0,0.255,25.5,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
1439,0.11,0.88,7,305,4,0,1,0,product_mng,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
6158,0.5,0.59,3,260,3,0,0,0,IT,medium,0,0,0.06,6.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8277,0.99,0.87,4,162,4,0,0,0,technical,medium,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3240,0.19,0.78,5,156,6,0,0,0,technical,medium,0,0,0.045,4.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6313,0.26,0.39,3,99,4,0,0,0,IT,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
271,0.11,0.84,6,251,4,0,1,0,technical,medium,1,1,0.995,99.5,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
2399,0.22,0.88,4,213,3,1,0,0,technical,medium,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
729,0.43,0.47,2,128,3,0,1,0,technical,medium,1,1,0.975,97.5,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
1610,0.76,0.98,4,237,5,0,1,0,sales,low,1,1,0.99,99.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
1270,0.45,0.46,2,142,3,0,1,0,support,medium,1,1,0.98,98.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
7297,0.8,0.97,4,259,2,0,0,0,support,low,0,0,0.02,2.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6081,0.54,0.75,4,199,2,0,0,0,management,medium,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11984,0.64,0.5,4,253,10,0,0,1,management,high,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3171,0.77,0.62,3,218,2,0,0,0,support,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8557,0.53,0.65,3,241,3,0,0,0,sales,low,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9066,0.93,0.57,2,205,4,1,0,0,product_mng,medium,0,0,0.02,2.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10835,0.51,0.86,4,260,3,1,0,0,marketing,low,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6577,0.15,0.74,6,178,3,0,0,0,sales,low,0,0,0.06,6.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10265,0.61,0.52,5,255,3,0,0,0,support,medium,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
909,0.43,0.51,2,140,3,0,1,0,sales,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
9079,0.86,0.89,3,250,2,0,0,0,marketing,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3047,0.48,0.54,2,144,3,0,0,0,accounting,low,0,1,0.555,55.5,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
7742,0.23,0.88,5,201,3,0,0,0,technical,low,0,0,0.395,39.5,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
4388,0.98,0.61,4,265,2,1,0,0,technical,medium,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2042,0.73,0.69,4,171,3,0,0,0,product_mng,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6790,0.94,0.48,4,218,3,0,0,0,marketing,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
287,0.11,0.79,6,292,4,0,1,1,technical,low,1,1,0.825,82.5,Medium-Risk Zone,"Conduct a targeted stay interview, review workload and compensation, provide a development plan, and address management or role concerns."
5371,0.7,0.51,3,256,3,0,0,0,technical,low,0,0,0.03,3.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2380,0.93,0.63,3,160,4,1,0,0,sales,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10478,0.56,0.69,5,198,3,0,0,0,hr,low,0,0,0.105,10.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1788,0.88,0.91,4,234,6,0,1,0,technical,low,1,1,0.97,97.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
533,0.75,0.85,5,240,6,1,1,0,marketing,medium,1,1,0.545,54.5,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
8861,0.86,0.71,4,250,3,1,0,0,sales,low,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9484,0.57,0.55,3,264,2,0,0,0,accounting,medium,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8814,0.75,0.73,5,181,3,1,0,0,technical,low,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6383,0.9,0.92,3,139,3,0,0,0,technical,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4748,0.85,0.84,5,179,3,0,0,0,sales,low,0,0,0.03,3.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
7319,0.23,0.96,4,242,6,0,0,0,marketing,medium,0,0,0.07,7.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1138,0.82,0.83,4,245,5,1,1,0,sales,low,1,1,0.615,61.5,Medium-Risk Zone,"Conduct a targeted stay interview, review workload and compensation, provide a development plan, and address management or role concerns."
7164,1.0,0.61,5,264,3,0,0,0,RandD,medium,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10605,0.89,0.92,3,195,2,0,0,0,marketing,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3925,0.22,0.51,4,131,2,0,0,0,technical,medium,0,0,0.075,7.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11012,0.56,0.92,4,224,3,0,0,0,sales,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10039,0.5,0.74,4,237,2,1,0,0,support,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3726,0.7,0.83,5,261,4,0,0,0,RandD,high,0,0,0.45,45.0,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
11989,0.33,0.65,3,172,10,0,0,1,marketing,high,0,0,0.08,8.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1632,0.42,0.46,2,135,3,0,1,0,technical,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
3867,0.54,0.53,4,183,3,0,0,0,IT,low,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
